academic_performance,anxiety_level,basic_needs,blood_pressure,breathing_problem,Sum of bullying,Column1,depression,extracurricular_activities,future_career_concerns,headache,K3,K3_renamed,living_conditions,LivingCondC,mental_health_history,MHProblemYes,noise_level,NoiseC,peer_pressure,PeerpressureC,PoorSleepQuality,Sum of safety,SafetyC,self_esteem,SelfEsteem>avg,sleep_quality,social_support,stress_level,study_load,teacher_student_relationship,AcademicC,BullyC,FuturecareerC
0,0,0,3,4,5,690,0,4,5,4,2,1,3,Average Condition,0,0.00%,2,Quiet,5,Intense Peer Pressure,Moderate,2,Not Safe,27,Above Average,3,0,2,3,3,Poor performance,Extreme Bullying,High concern
0,1,3,3,3,4,1011,21,0,0,0,2,1,2,Bad Condition,0,0.00%,4,Noisy,2,Minimal Peer Pressure,Poor,4,Safe,7,Below Average,0,0,2,4,4,Poor performance,Extreme Bullying,Slight concern
0,1,5,3,1,1,305,11,2,3,3,2,1,3,Average Condition,0,0.00%,4,Noisy,0,Minimal Peer Pressure,High,1,Not Safe,21,Above Average,5,1,1,4,2,Poor performance,Minimal Bullying,Average concern
0,2,1,3,0,5,302,4,1,1,4,2,1,2,Bad Condition,1,100.00%,0,Quiet,1,Minimal Peer Pressure,High,3,Quite Safe,23,Above Average,5,0,0,4,2,Poor performance,Extreme Bullying,Slight concern
0,2,3,3,0,1,865,19,3,5,3,2,1,0,Bad Condition,0,0.00%,1,Quiet,2,Minimal Peer Pressure,Poor,2,Not Safe,30,Above Average,0,1,0,0,1,Poor performance,Minimal Bullying,High concern
0,3,2,3,0,2,1035,18,2,0,3,2,1,3,Average Condition,0,0.00%,0,Quiet,1,Minimal Peer Pressure,Moderate,1,Not Safe,17,Below Average,3,1,0,1,4,Poor performance,Minimal Bullying,Slight concern
0,5,2,3,3,0,1037,6,4,5,4,2,1,0,Bad Condition,1,100.00%,4,Noisy,3,Moderate Peer Pressure,High,3,Quite Safe,9,Below Average,5,0,1,0,2,Poor performance,No Bully,High concern
0,6,2,3,1,1,1090,24,0,1,4,2,1,3,Average Condition,0,0.00%,0,Quiet,2,Minimal Peer Pressure,Poor,4,Safe,11,Below Average,1,1,0,3,2,Poor performance,Minimal Bullying,Slight concern
0,7,0,3,2,1,209,17,1,5,5,2,1,1,Bad Condition,1,100.00%,1,Quiet,4,Intense Peer Pressure,Poor,1,Not Safe,13,Below Average,1,1,2,0,2,Poor performance,Minimal Bullying,High concern
0,7,1,3,1,1,784,3,0,3,5,2,1,4,Good Condition,1,100.00%,0,Quiet,4,Intense Peer Pressure,Poor,3,Quite Safe,15,Below Average,1,1,0,5,2,Poor performance,Minimal Bullying,Average concern
0,7,5,3,4,4,179,17,3,4,3,2,1,3,Average Condition,1,100.00%,0,Quiet,4,Intense Peer Pressure,Moderate,2,Not Safe,25,Above Average,3,1,0,0,0,Poor performance,Extreme Bullying,High concern
0,8,5,3,4,2,61,2,5,5,2,2,1,4,Good Condition,1,100.00%,1,Quiet,4,Intense Peer Pressure,Poor,4,Safe,29,Above Average,0,1,1,0,0,Poor performance,Minimal Bullying,High concern
0,9,4,3,0,3,1096,8,4,1,0,2,1,1,Bad Condition,0,0.00%,0,Quiet,3,Moderate Peer Pressure,Poor,3,Quite Safe,12,Below Average,0,1,2,1,1,Poor performance,Average Bullying,Slight concern
0,10,2,3,1,1,396,12,5,1,3,2,1,2,Bad Condition,0,0.00%,4,Noisy,1,Minimal Peer Pressure,High,1,Not Safe,11,Below Average,5,1,2,1,4,Poor performance,Minimal Bullying,Slight concern
0,11,3,3,2,1,861,24,4,1,2,2,1,0,Bad Condition,1,100.00%,4,Noisy,1,Minimal Peer Pressure,High,1,Not Safe,22,Above Average,4,0,2,3,1,Poor performance,Minimal Bullying,Slight concern
0,12,0,3,0,4,668,5,0,5,2,2,1,3,Average Condition,1,100.00%,4,Noisy,0,Minimal Peer Pressure,Poor,1,Not Safe,17,Below Average,2,1,0,5,1,Poor performance,Extreme Bullying,High concern
0,12,2,3,2,1,946,5,1,0,3,2,1,5,Good Condition,0,0.00%,5,Noisy,4,Intense Peer Pressure,Moderate,3,Quite Safe,0,Below Average,3,1,2,1,4,Poor performance,Minimal Bullying,Slight concern
0,12,4,3,0,0,828,27,5,1,1,2,1,5,Good Condition,0,0.00%,2,Quiet,3,Moderate Peer Pressure,High,5,Safe,25,Above Average,4,1,2,3,1,Poor performance,No Bully,Slight concern
0,13,2,3,1,1,100,22,5,2,1,2,1,4,Good Condition,0,0.00%,0,Quiet,3,Moderate Peer Pressure,High,1,Not Safe,3,Below Average,4,0,1,0,0,Poor performance,Minimal Bullying,Slight concern
0,13,3,3,3,0,496,21,5,0,5,2,1,1,Bad Condition,1,100.00%,0,Quiet,4,Intense Peer Pressure,Moderate,1,Not Safe,14,Below Average,3,0,0,1,0,Poor performance,No Bully,Slight concern
0,14,4,3,5,5,1073,20,4,2,1,2,1,2,Bad Condition,0,0.00%,2,Quiet,0,Minimal Peer Pressure,Poor,0,Not Safe,16,Below Average,0,0,0,1,0,Poor performance,Extreme Bullying,Slight concern
0,18,4,3,1,5,452,1,3,2,1,2,1,2,Bad Condition,0,0.00%,5,Noisy,0,Minimal Peer Pressure,Poor,1,Not Safe,4,Below Average,0,0,1,2,0,Poor performance,Extreme Bullying,Slight concern
0,19,0,3,3,3,606,1,0,2,0,2,1,4,Good Condition,0,0.00%,4,Noisy,5,Intense Peer Pressure,High,2,Not Safe,27,Above Average,5,1,2,2,2,Poor performance,Average Bullying,Slight concern
0,19,2,3,1,5,1003,23,3,5,1,0,0,3,Average Condition,1,100.00%,2,Quiet,4,Intense Peer Pressure,High,3,Quite Safe,3,Below Average,5,1,1,5,2,Poor performance,Extreme Bullying,High concern
0,19,5,3,0,4,1026,3,3,1,5,2,1,5,Good Condition,0,0.00%,5,Noisy,4,Intense Peer Pressure,High,2,Not Safe,27,Above Average,5,0,1,1,2,Poor performance,Extreme Bullying,Slight concern
0,20,4,3,5,3,476,20,4,4,2,0,0,1,Bad Condition,1,100.00%,2,Quiet,1,Minimal Peer Pressure,Poor,3,Quite Safe,9,Below Average,0,0,1,4,1,Poor performance,Average Bullying,High concern
0,20,5,3,4,2,898,8,1,4,0,2,1,1,Bad Condition,0,0.00%,3,Neutral,3,Moderate Peer Pressure,Poor,0,Not Safe,11,Below Average,1,1,0,0,4,Poor performance,Minimal Bullying,High concern
0,21,2,3,3,0,384,14,4,1,5,2,1,5,Good Condition,0,0.00%,1,Quiet,4,Intense Peer Pressure,Poor,0,Not Safe,27,Above Average,0,0,0,0,3,Poor performance,No Bully,Slight concern
1,2,5,3,4,1,675,27,4,4,5,2,1,5,Good Condition,0,0.00%,4,Noisy,5,Intense Peer Pressure,High,4,Safe,6,Below Average,5,1,2,5,2,Poor performance,Minimal Bullying,High concern
1,3,3,3,5,1,114,22,2,3,0,2,1,5,Good Condition,0,0.00%,1,Quiet,0,Minimal Peer Pressure,High,3,Quite Safe,2,Below Average,4,1,2,2,2,Poor performance,Minimal Bullying,Average concern
1,3,3,3,5,4,416,4,4,1,1,2,1,3,Average Condition,1,100.00%,4,Noisy,0,Minimal Peer Pressure,Poor,1,Not Safe,0,Below Average,1,1,2,1,2,Poor performance,Extreme Bullying,Slight concern
1,4,0,3,4,4,178,22,4,4,0,2,1,1,Bad Condition,0,0.00%,0,Quiet,0,Minimal Peer Pressure,Moderate,1,Not Safe,25,Above Average,3,0,1,5,0,Poor performance,Extreme Bullying,High concern
1,4,2,3,5,5,226,12,4,2,1,2,1,2,Bad Condition,0,0.00%,4,Noisy,0,Minimal Peer Pressure,High,2,Not Safe,8,Below Average,4,1,2,1,4,Poor performance,Extreme Bullying,Slight concern
1,5,0,3,2,0,589,18,4,3,4,2,1,0,Bad Condition,1,100.00%,2,Quiet,2,Minimal Peer Pressure,Moderate,4,Safe,1,Below Average,3,1,2,0,0,Poor performance,No Bully,Average concern
1,5,0,3,4,5,503,10,1,4,5,0,0,1,Bad Condition,1,100.00%,3,Neutral,5,Intense Peer Pressure,Moderate,3,Quite Safe,2,Below Average,3,0,1,5,1,Poor performance,Extreme Bullying,High concern
1,5,1,3,1,5,592,7,5,3,0,2,1,5,Good Condition,1,100.00%,3,Neutral,2,Minimal Peer Pressure,Poor,3,Quite Safe,15,Below Average,1,1,2,1,4,Poor performance,Extreme Bullying,Average concern
1,5,2,3,0,0,457,6,1,5,3,2,1,2,Bad Condition,1,100.00%,4,Noisy,1,Minimal Peer Pressure,High,1,Not Safe,2,Below Average,5,1,1,2,1,Poor performance,No Bully,High concern
1,6,3,3,2,1,144,12,3,0,3,2,1,4,Good Condition,1,100.00%,3,Neutral,2,Minimal Peer Pressure,High,1,Not Safe,3,Below Average,5,1,2,5,2,Poor performance,Minimal Bullying,Slight concern
1,7,0,3,0,5,857,18,5,2,4,0,0,0,Bad Condition,1,100.00%,0,Quiet,2,Minimal Peer Pressure,High,0,Not Safe,13,Below Average,5,0,2,5,4,Poor performance,Extreme Bullying,Slight concern
1,7,0,3,2,0,135,3,0,1,0,2,1,4,Good Condition,1,100.00%,5,Noisy,5,Intense Peer Pressure,Poor,4,Safe,24,Above Average,0,1,0,5,3,Poor performance,No Bully,Slight concern
1,9,0,3,1,5,649,26,2,0,5,0,0,0,Bad Condition,1,100.00%,2,Quiet,5,Intense Peer Pressure,Poor,5,Safe,29,Above Average,0,1,1,4,0,Poor performance,Extreme Bullying,Slight concern
1,9,0,3,4,3,290,2,5,2,3,2,1,5,Good Condition,1,100.00%,4,Noisy,1,Minimal Peer Pressure,Moderate,5,Safe,30,Above Average,3,1,0,4,3,Poor performance,Average Bullying,Slight concern
1,9,3,3,0,1,13,24,0,3,4,2,1,2,Bad Condition,1,100.00%,1,Quiet,1,Minimal Peer Pressure,Poor,4,Safe,23,Above Average,1,0,2,2,3,Poor performance,Minimal Bullying,Average concern
1,10,3,3,1,3,534,6,1,0,1,2,1,4,Good Condition,1,100.00%,5,Noisy,0,Minimal Peer Pressure,Moderate,4,Safe,20,Above Average,3,0,0,4,2,Poor performance,Average Bullying,Slight concern
1,11,1,3,1,0,481,5,4,4,5,2,1,1,Bad Condition,0,0.00%,0,Quiet,2,Minimal Peer Pressure,High,2,Not Safe,16,Below Average,4,1,1,4,4,Poor performance,No Bully,High concern
1,11,4,3,0,3,255,10,2,2,3,2,1,4,Good Condition,1,100.00%,3,Neutral,0,Minimal Peer Pressure,Poor,2,Not Safe,20,Above Average,2,0,1,2,3,Poor performance,Average Bullying,Slight concern
1,13,3,3,5,3,493,0,3,3,4,2,1,0,Bad Condition,0,0.00%,2,Quiet,1,Minimal Peer Pressure,High,2,Not Safe,14,Below Average,5,0,1,5,3,Poor performance,Average Bullying,Average concern
1,13,5,3,4,0,459,5,5,4,1,2,1,1,Bad Condition,0,0.00%,0,Quiet,0,Minimal Peer Pressure,Poor,1,Not Safe,2,Below Average,2,0,1,2,4,Poor performance,No Bully,High concern
1,13,5,3,4,5,801,26,5,5,1,2,1,3,Average Condition,0,0.00%,0,Quiet,0,Minimal Peer Pressure,Poor,3,Quite Safe,6,Below Average,0,1,0,1,1,Poor performance,Extreme Bullying,High concern
1,14,0,3,3,5,192,20,0,0,5,2,1,2,Bad Condition,1,100.00%,5,Noisy,1,Minimal Peer Pressure,Moderate,4,Safe,23,Above Average,3,0,2,3,1,Poor performance,Extreme Bullying,Slight concern
1,15,1,3,3,4,499,22,5,4,5,0,0,1,Bad Condition,1,100.00%,4,Noisy,5,Intense Peer Pressure,Poor,1,Not Safe,13,Below Average,1,1,2,4,2,Poor performance,Extreme Bullying,High concern
1,15,1,3,3,5,862,19,4,4,3,0,0,2,Bad Condition,1,100.00%,3,Neutral,4,Intense Peer Pressure,Poor,1,Not Safe,7,Below Average,1,1,2,5,1,Poor performance,Extreme Bullying,High concern
1,15,1,3,4,5,464,15,5,5,3,0,0,1,Bad Condition,1,100.00%,4,Noisy,5,Intense Peer Pressure,Poor,2,Not Safe,13,Below Average,1,1,2,5,2,Poor performance,Extreme Bullying,High concern
1,15,1,3,4,5,557,24,4,4,4,0,0,2,Bad Condition,1,100.00%,3,Neutral,4,Intense Peer Pressure,Poor,2,Not Safe,11,Below Average,1,1,2,3,2,Poor performance,Extreme Bullying,High concern
1,15,1,3,4,4,891,22,5,4,5,0,0,2,Bad Condition,1,100.00%,3,Neutral,4,Intense Peer Pressure,Poor,1,Not Safe,6,Below Average,1,1,2,5,1,Poor performance,Extreme Bullying,High concern
1,15,1,3,5,4,461,19,5,4,3,0,0,2,Bad Condition,1,100.00%,3,Neutral,4,Intense Peer Pressure,Poor,2,Not Safe,12,Below Average,1,1,2,5,2,Poor performance,Extreme Bullying,High concern
1,15,1,3,5,4,680,27,4,4,3,0,0,2,Bad Condition,1,100.00%,5,Noisy,4,Intense Peer Pressure,Poor,2,Not Safe,0,Below Average,1,1,2,4,2,Poor performance,Extreme Bullying,High concern
1,15,2,3,3,5,96,19,4,5,3,0,0,1,Bad Condition,1,100.00%,3,Neutral,4,Intense Peer Pressure,Poor,1,Not Safe,14,Below Average,1,1,2,4,1,Poor performance,Extreme Bullying,High concern
1,15,2,3,3,4,175,26,5,4,4,0,0,2,Bad Condition,1,100.00%,5,Noisy,5,Intense Peer Pressure,Poor,1,Not Safe,0,Below Average,1,1,2,3,2,Poor performance,Extreme Bullying,High concern
1,15,2,3,3,5,206,15,4,4,5,0,0,2,Bad Condition,1,100.00%,4,Noisy,4,Intense Peer Pressure,Poor,2,Not Safe,7,Below Average,1,1,2,3,2,Poor performance,Extreme Bullying,High concern
1,15,2,3,3,4,928,27,4,5,4,0,0,2,Bad Condition,1,100.00%,3,Neutral,5,Intense Peer Pressure,Poor,1,Not Safe,3,Below Average,1,1,2,4,2,Poor performance,Extreme Bullying,High concern
1,15,2,3,3,4,943,24,5,4,5,0,0,2,Bad Condition,1,100.00%,3,Neutral,5,Intense Peer Pressure,Poor,1,Not Safe,3,Below Average,1,1,2,4,2,Poor performance,Extreme Bullying,High concern
1,15,2,3,3,4,957,18,5,5,3,0,0,2,Bad Condition,1,100.00%,4,Noisy,5,Intense Peer Pressure,Poor,1,Not Safe,6,Below Average,1,1,2,3,2,Poor performance,Extreme Bullying,High concern
1,15,2,3,3,4,1076,23,4,5,4,0,0,2,Bad Condition,1,100.00%,3,Neutral,5,Intense Peer Pressure,Poor,1,Not Safe,13,Below Average,1,1,2,5,1,Poor performance,Extreme Bullying,High concern
1,15,2,3,3,5,1081,21,4,5,4,0,0,2,Bad Condition,1,100.00%,5,Noisy,4,Intense Peer Pressure,Poor,1,Not Safe,7,Below Average,1,1,2,3,1,Poor performance,Extreme Bullying,High concern
1,15,2,3,4,5,1,15,5,5,5,0,0,1,Bad Condition,1,100.00%,3,Neutral,4,Intense Peer Pressure,Poor,2,Not Safe,8,Below Average,1,1,2,4,1,Poor performance,Extreme Bullying,High concern
1,15,2,3,4,5,288,19,5,5,4,0,0,2,Bad Condition,1,100.00%,4,Noisy,5,Intense Peer Pressure,Poor,1,Not Safe,8,Below Average,1,1,2,3,2,Poor performance,Extreme Bullying,High concern
1,15,2,3,4,4,523,24,4,4,5,0,0,1,Bad Condition,1,100.00%,5,Noisy,5,Intense Peer Pressure,Poor,1,Not Safe,12,Below Average,1,1,2,4,2,Poor performance,Extreme Bullying,High concern
1,15,2,3,4,4,996,25,4,5,4,0,0,1,Bad Condition,1,100.00%,3,Neutral,5,Intense Peer Pressure,Poor,1,Not Safe,1,Below Average,1,1,2,3,1,Poor performance,Extreme Bullying,High concern
1,15,2,3,4,5,1044,23,4,5,3,0,0,2,Bad Condition,1,100.00%,3,Neutral,5,Intense Peer Pressure,Poor,1,Not Safe,1,Below Average,1,1,2,4,2,Poor performance,Extreme Bullying,High concern
1,15,2,3,4,5,1060,16,4,4,4,0,0,2,Bad Condition,1,100.00%,4,Noisy,5,Intense Peer Pressure,Poor,1,Not Safe,12,Below Average,1,1,2,3,2,Poor performance,Extreme Bullying,High concern
1,15,2,3,5,4,165,26,5,5,3,0,0,2,Bad Condition,1,100.00%,5,Noisy,4,Intense Peer Pressure,Poor,1,Not Safe,4,Below Average,1,1,2,4,1,Poor performance,Extreme Bullying,High concern
